Latitude (decimal degrees): -15.792
Longitude (decimal degrees): -47.877
Elevation (m): 1082.0
Irradiance Time Offset (h): 0.0711
month,year
1,202
2,2018
3,2015
4,2005
5,2008
6,2013
7,2012
8,2009
9,2017
10,2023
11,2015
12,2005
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20200101:0000,20.86,86.49,0.0,-0.0,0.0,377.75,1.73,315.0,89940.0
20200101:0100,20.73,88.22,0.0,-0.0,0.0,375.78,1.62,332.0,90000.0
20200101:0200,20.59,89.96,0.0,-0.0,0.0,373.82,1.5,334.0,90040.0
20200101:0300,20.46,91.7,0.0,-0.0,0.0,371.85,1.38,327.0,90000.0
20200101:0400,20.32,93.43,0.0,-0.0,0.0,369.88,1.27,321.0,89990.0
20200101:0500,20.19,95.17,0.0,-0.0,0.0,367.92,1.15,323.0,89940.0
20200101:0600,20.05,96.91,0.0,-0.0,0.0,365.95,1.03,314.0,89930.0
20200101:0700,19.92,98.65,0.0,-0.0,0.0,363.98,0.92,285.0,89960.0
20200101:0800,19.75,92.9,0.0,-0.0,0.0,380.1,0.76,262.0,89940.0
20200101:0900,20.08,89.85,24.0,46.0,21.0,369.05,0.28,273.0,89970.0
20200101:1000,20.95,86.9,80.0,0.0,80.0,362.5,0.48,331.0,90000.0
20200101:1100,22.53,78.7,150.0,0.0,150.0,361.9,1.1,338.0,90040.0
20200101:1200,24.38,69.05,593.0,414.01,302.0,375.05,1.86,340.0,90060.0
20200101:1300,26.04,62.65,589.0,174.88,440.0,383.55,2.34,337.0,90070.0
20200101:1400,27.36,56.95,835.0,441.96,415.0,382.4,2.34,338.0,90020.0
20200101:1500,28.67,51.8,216.0,0.0,216.0,402.75,2.21,343.0,89940.0
20200101:1600,28.93,50.05,944.0,638.11,324.0,397.5,2.55,319.0,89840.0
20200101:1700,25.58,64.8,761.0,401.94,402.0,415.5,3.52,276.0,89850.0
20200101:1800,24.78,71.5,706.0,579.43,265.0,393.25,3.03,305.0,89780.0
20200101:1900,26.58,58.7,535.0,598.91,185.0,411.85,1.59,297.0,89700.0
20200101:2000,24.52,71.4,31.0,0.0,31.0,415.7,2.83,315.0,89670.0
20200101:2100,23.47,78.85,35.0,0.0,35.0,395.55,1.86,331.0,89640.0
20200101:2200,23.04,81.45,0.0,-0.0,0.0,377.55,1.66,338.0,89700.0
20200101:2300,22.6,81.45,0.0,-0.0,0.0,380.3,1.72,325.0,89750.0
20200102:0000,22.05,84.15,0.0,-0.0,0.0,374.85,1.79,310.0,89950.0
20200102:0100,21.25,86.95,0.0,-0.0,0.0,378.85,1.86,315.0,90030.0
20200102:0200,20.67,89.9,0.0,-0.0,0.0,373.9,1.79,309.0,90070.0
20200102:0300,20.31,92.95,0.0,-0.0,0.0,377.2,1.45,309.0,90040.0
20200102:0400,20.3,96.1,0.0,-0.0,0.0,383.0,1.72,309.0,89950.0
20200102:0500,20.05,92.95,0.0,-0.0,0.0,370.4,1.86,314.0,89890.0
20200102:0600,20.11,92.95,0.0,-0.0,0.0,369.65,2.0,319.0,89840.0
20200102:0700,20.27,96.1,0.0,-0.0,0.0,393.25,2.55,324.0,89820.0
20200102:0800,20.11,96.1,0.0,-0.0,0.0,380.1,2.14,317.0,89850.0
20200102:0900,20.32,92.95,19.0,15.85,18.0,400.2,2.48,312.0,89930.0
20200102:1000,20.56,89.9,164.0,112.37,131.0,392.65,2.69,312.0,90020.0
20200102:1100,21.02,89.9,227.0,23.46,215.0,405.25,2.14,321.0,90080.0
20200102:1200,21.92,89.95,659.0,615.73,227.0,407.0,2.07,319.0,90120.0
20200102:1300,22.8,87.1,630.0,233.79,431.0,412.2,2.28,313.0,90150.0
20200102:1400,23.19,81.5,838.0,451.6,409.0,419.75,2.62,303.0,90120.0
20200102:1500,24.95,76.45,857.0,413.63,447.0,395.75,2.9,298.0,90030.0
20200102:1600,25.97,71.65,546.0,61.72,486.0,395.95,3.24,299.0,89970.0
20200102:1700,25.31,64.7,535.0,89.48,455.0,394.2,3.52,295.0,89860.0
20200102:1800,24.14,69.05,82.0,0.0,82.0,391.5,3.52,304.0,89790.0
20200102:1900,24.47,69.05,53.0,0.0,53.0,389.95,2.9,257.0,89750.0
20200102:2000,24.2,69.05,31.0,0.0,31.0,394.0,1.86,240.0,89760.0
20200102:2100,23.11,73.7,9.0,0.0,9.0,387.65,1.86,302.0,89830.0
20200102:2200,22.03,81.35,0.0,-0.0,0.0,392.3,1.52,311.0,89920.0
20200102:2300,21.41,84.05,0.0,-0.0,0.0,390.35,1.17,335.0,90030.0
20200103:0000,21.02,86.9,0.0,-0.0,0.0,397.9,1.38,335.0,90110.0
20200103:0100,20.38,92.95,0.0,-0.0,0.0,382.5,1.45,333.0,90140.0
20200103:0200,20.09,92.95,0.0,-0.0,0.0,380.85,1.31,320.0,90160.0
20200103:0300,19.76,96.1,0.0,-0.0,0.0,378.55,1.31,327.0,90120.0
20200103:0400,19.52,92.9,0.0,-0.0,0.0,378.15,1.45,334.0,90040.0
20200103:0500,19.27,96.1,0.0,-0.0,0.0,370.2,1.86,327.0,89980.0
20200103:0600,19.32,96.1,0.0,-0.0,0.0,383.2,2.21,323.0,89960.0
20200103:0700,19.59,96.1,0.0,-0.0,0.0,405.65,2.07,317.0,89960.0
20200103:0800,19.67,96.1,0.0,-0.0,0.0,405.25,2.07,316.0,89960.0
20200103:0900,19.85,96.1,3.0,0.0,3.0,402.35,2.28,313.0,89980.0
20200103:1000,20.07,92.95,160.0,106.27,129.0,399.65,3.31,310.0,90040.0
20200103:1100,20.98,86.9,256.0,49.04,231.0,396.15,3.59,308.0,90070.0
20200103:1200,22.73,78.75,347.0,37.12,321.0,399.25,3.52,303.0,90100.0
20200103:1300,24.44,73.85,674.0,311.64,409.0,381.65,3.03,303.0,90160.0
20200103:1400,25.52,69.25,781.0,348.57,450.0,407.4,2.9,302.0,90130.0
20200103:1500,25.31,69.25,995.0,721.25,280.0,412.4,2.76,290.0,90040.0
20200103:1600,26.51,64.95,907.0,556.18,366.0,401.0,2.69,307.0,89970.0
20200103:1700,24.9,66.85,624.0,181.01,462.0,404.45,3.59,304.0,89930.0
20200103:1800,23.43,76.2,572.0,260.65,373.0,395.4,4.14,303.0,89830.0
20200103:1900,26.15,58.7,277.0,32.36,258.0,414.55,2.83,308.0,89670.0
20200103:2000,25.69,60.6,271.0,288.39,162.0,387.05,2.9,309.0,89650.0
20200103:2100,24.45,69.05,9.0,0.0,9.0,387.45,2.41,317.0,89720.0
20200103:2200,22.69,76.15,0.0,-0.0,0.0,388.8,2.62,322.0,89880.0
20200103:2300,21.59,81.35,0.0,-0.0,0.0,398.45,2.76,317.0,89970.0
20200104:0000,21.05,84.05,0.0,-0.0,0.0,392.45,2.34,318.0,90030.0
20200104:0100,20.64,86.9,0.0,-0.0,0.0,391.4,2.48,321.0,90100.0
20200104:0200,20.28,92.95,0.0,-0.0,0.0,402.55,2.41,324.0,90110.0
20200104:0300,20.13,92.95,0.0,-0.0,0.0,408.15,2.21,328.0,90040.0
20200104:0400,19.76,96.1,0.0,-0.0,0.0,379.7,2.0,328.0,90010.0
20200104:0500,19.63,96.1,0.0,-0.0,0.0,403.3,2.21,319.0,89990.0
20200104:0600,19.46,99.4,0.0,-0.0,0.0,403.5,2.07,320.0,89930.0
20200104:0700,19.39,96.1,0.0,-0.0,0.0,394.0,2.83,318.0,89940.0
20200104:0800,19.24,96.1,0.0,-0.0,0.0,400.4,2.14,319.0,89900.0
20200104:0900,19.17,96.1,21.0,51.04,18.0,400.8,2.76,324.0,89950.0
20200104:1000,19.93,92.9,185.0,196.71,128.0,401.95,3.66,325.0,90010.0
20200104:1100,20.39,89.85,289.0,92.49,242.0,409.1,3.52,324.0,90030.0
20200104:1200,21.6,84.1,417.0,98.7,348.0,411.25,3.03,322.0,90070.0
20200104:1300,22.66,78.75,584.0,173.03,437.0,406.6,3.52,318.0,90100.0
20200104:1400,23.3,78.85,872.0,528.83,370.0,415.3,3.31,321.0,90070.0
20200104:1500,24.05,76.3,838.0,382.26,459.0,398.45,3.45,318.0,89980.0
20200104:1600,25.0,69.15,384.0,5.14,379.0,410.45,3.52,315.0,89880.0
20200104:1700,24.86,66.85,525.0,81.48,452.0,412.0,4.21,315.0,89790.0
20200104:1800,24.92,66.85,72.0,0.0,72.0,394.6,4.48,313.0,89720.0
20200104:1900,23.7,71.35,53.0,0.0,53.0,405.65,4.97,315.0,89720.0
20200104:2000,23.55,73.7,31.0,0.0,31.0,396.75,4.07,311.0,89670.0
20200104:2100,22.48,78.7,10.0,0.0,10.0,394.2,3.24,319.0,89790.0
20200104:2200,21.66,81.35,0.0,-0.0,0.0,401.0,2.9,324.0,89840.0
20200104:2300,21.32,84.05,0.0,-0.0,0.0,405.05,3.1,330.0,89920.0
20200105:0000,20.88,86.9,0.0,-0.0,0.0,402.15,3.1,329.0,90030.0
20200105:0100,20.34,92.95,0.0,-0.0,0.0,404.0,2.83,329.0,90030.0
20200105:0200,19.88,96.1,0.0,-0.0,0.0,407.0,2.69,337.0,89980.0
20200105:0300,19.56,96.1,0.0,-0.0,0.0,404.85,2.48,336.0,89920.0
20200105:0400,19.39,99.4,0.0,-0.0,0.0,408.15,2.48,335.0,89870.0
20200105:0500,19.36,99.4,0.0,-0.0,0.0,412.4,2.48,331.0,89830.0
20200105:0600,19.36,99.4,0.0,-0.0,0.0,411.25,2.48,326.0,89810.0
20200105:0700,19.12,96.1,0.0,-0.0,0.0,409.3,2.14,324.0,89810.0
20200105:0800,19.08,96.1,0.0,-0.0,0.0,409.5,2.55,327.0,89830.0
20200105:0900,18.98,99.4,16.0,17.67,15.0,398.85,1.93,328.0,89870.0
20200105:1000,19.28,99.4,81.0,0.0,81.0,408.35,2.07,321.0,89960.0
20200105:1100,19.58,96.1,257.0,51.33,231.0,411.05,2.76,314.0,90010.0
20200105:1200,20.12,96.1,218.0,0.0,218.0,412.0,2.41,310.0,90080.0
